MAGIC	WIZARDS
Set_Palette_Changes	Set_Palette_Changes
Clear_Palette_Changes	Clear_Palette_Changes
UU_PAL_ClearPalette	NX_VGA_ClearDAC
UU_PAL_SavePalette	NX_VGA_SaveDAC
UU_PAL_RestorePalette	NX_VGA_RestoreDAC
UU_Set_Palette_Colors	NX_VGA_LoadDAC
UU_Reset_Cycle_Palette_Color	Reset_Cycle_Palette_Color
UU_Cycle_Palette_Color	Cycle_Palette_Color__STUB
UU_Update_Cycle	Update_Cycle
UU_Set_Palette_Gradient	NX_VGA_CreateHues
Apply_Palette	Apply_Palette
Cycle_Palette	Cycle_Palette
UU_VGA_ShadeScreen	Tint_Palette
UU_VGA_SlideColors	VGA_SlideColors__STUB
UU_VGA_ColorWave	NX_VGA_ColorWave
VGA_ShadeColorMatch	Create_Remap_Palette
FLIC_Load_Palette	FLIC_Load_Palette
UU_Clock_Wait30	UU_Clock_Wait30
Clear_Screens	Clear_Screens
Set_Random_Seed	Set_Random_Seed
Get_Random_Seed	Get_Random_Seed
Randomize	Randomize
Random	Random
RP_MEM_TestBit_Far	Test_Bit_Field
RP_MEM_SetBit_Far	Set_Bit_Field
RP_MEM_ClearBit_Far	Clear_Bit_Field
UU_DBG_SetSelectSetting	UU_DBG_SetSelectSetting
UU_DBG_SelectDialog	UU_DBG_SelectDialog
UU_VGA_GrowOutFlip	Draw_Expanding_Bitmap
PageFlip_GrowOut_CopyScreen	Copy_Screen_To_Bitmap
UU_VGA_GetPointInDir	UU_VGA_GetPointInDir
DBG_Quit	F11_Key__WIP
DBG_ScreenDump	Screen_Flic_Capture
VGA_ReadScreenLine	VGA_ReadScreenLine
Release_Version	Release_Version
Check_Release_Version	Check_Release_Version
UU_VGA_SaveDrawSection	Screen_Picture_Capture
UU_VGA_CopyToLBX	Capture_Screen_Block
VGA_FILEH_Draw	Draw_File_Animation_Frame_ASM
VGA_MapNextEMMPage	Map_File_Animation_Frame_ASM
VGA_FILEH_Draw_R	Remap_Draw_File_Animation_Frame_ASM
Set_Page_On	Set_Page_On
Set_Page_Off	Set_Page_Off
Check_Default_Video_Page	Check_Default_Video_Page
Page_Flip	Page_Flip
Copy_On_To_Off_Page	Copy_On_To_Off_Page
Copy_On_To_Off_YM	Copy_On_To_Off_YM
Copy_On_To_Off_NM	Copy_On_To_Off_NM
Copy_Off_To_Back	Copy_Off_To_Back
Copy_Back_To_Off	Copy_Back_To_Off
VGA_SaveDraw_Frame4	Copy_Off_To_Page4
VGA_LoadDraw_Frame4	Copy_Page4_To_Off
UU_VGA_CopyToDraw	UU_VGA_CopyToDraw
FLIC_Draw_Frame	Draw_Frame_ASM
FLIC_Remap_Draw_Frame	Remap_Draw_Frame_ASM
FLIC_Draw_EMM	EMM_Draw_Frame_ASM
FLIC_EMM_MapNextPages	Map_Frame_ASM
FLIC_Draw_Frame_EMM_Remap	EMM_Remap_Draw_Frame_ASM
UU_LBX_Image_Copy	Copy_Bitmap_To_Bitmap
Create_Picture	Create_Picture
UU_LBX_IMG_VShiftRect	LBX_IMG_VShiftRect
UU_LBX_IMG_VertWarp	LBX_IMG_VertWarp
UU_LBX_IMG_HorzWarp	LBX_IMG_HorzWarp
UU_LBX_IMG_PrepFill	Create_Blank_Picture
UU_LBX_IMG_ColorShift	UU_LBX_IMG_ColorShift
UU_LBX_IMG_CReplaceRect	UU_LBX_IMG_CReplaceRect
UU_LBX_IMG_ClearGraphic	Replace_Color_All
UU_LBX_IMG_LoadPalette	Load_Palette_From_Animation
FLIC_Draw	FLIC_Draw
FLIC_Draw_XY_Wnd	Clipped_Draw
Draw_Picture_To_Bitmap	Draw_Picture_To_Bitmap
FLIC_Set_CurrentFrame	Set_Animation_Frame
FLIC_ResetFrame	Reset_Animation_Frame
FLIC_Get_CurrentFrame	FLIC_Get_CurrentFrame
UU_LBX_IMG_GetFrameCnt	FLIC_Get_FrameCount
LBX_IMG_GetWidth	FLIC_Get_Width
LBX_IMG_GetHeight	FLIC_Get_Height
UU_VGA_WndDrawRotateImg	VGA_WndDrawRotateImg
UU_VGA_WndDrawImageRect	VGA_WndDrawImageRect
UU_VGA_WndDrawTransform	UU_VGA_WndDrawTransform
UU_VGA_RotateRect	VGA_RotateRect
Draw_Picture	Draw_Picture
Draw_Picture_Windowed	Draw_Picture_Windowed
UU_LBX_IMG_CopyInto	Clipped_Copy_Bitmap
UU_LBX_IMG_Overlay	Clipped_Copy_Mask
UU_LBX_IMG_StripColors	Transparent_Color_Range
UU_LBX_IMG_CropRect	UU_LBX_IMG_CropRect
UU_LBX_IMG_ClearRect	Clear_Bitmap_Region
UU_LBX_IMG_ExtGrayScale	UU_LBX_IMG_ExtGrayScale
UU_LBX_IMG_Resize	Scale_Bitmap
Open_File_Animation__HACK	Open_File_Animation
Draw_File_Animation__HACK	Draw_File_Animation
VGA_FILEH_Loader	Load_File_Animation_Frame
UU_VGA_FILEH_GetFrame	Get_File_Animation_Frame
UU_VGA_FILEH_SetFrame	Set_File_Animation_Frame
LBX_IMG_IsFullFramed	Get_Full_Store_Flag
LBX_IMG_SetLoop1	FLIC_Set_LoopFrame_1
UU_LBX_IMG_OutlineOvr	Outline_Bitmap_Pixels
