segment_pair	ordinal	MAGIC	WIZARDS	size_ratio	normalized_similarity	normalized_line_edit_distance	normalized_line_edit_similarity	mnemonic_similarity	mnemonic_line_edit_distance	mnemonic_line_edit_similarity	magic_instruction_count	wizards_instruction_count
seg021->seg021	4	UU_VGA_SlideColors	VGA_SlideColors__STUB	1.000000	0.990132	2	0.981481	1.000000	0	1.000000	101	101
seg034->seg036	45	UU_GUI_CreateLockblBtn	UU_GUI_CreateLockblBtn	1.000000	0.990783	1	0.974359	1.000000	0	1.000000	39	39
seg028->seg030	33	UU_LBX_IMG_ExtGrayScale	UU_LBX_IMG_ExtGrayScale	1.000000	0.990899	2	0.985714	1.000000	0	1.000000	121	121
seg028->seg030	45	UU_LBX_IMG_DrawRect	UU_LBX_IMG_DrawRect	1.000000	0.991343	3	0.982143	1.000000	0	1.000000	149	149
seg032->seg034	2	UU_MATH_Inverse_Tan_QI	Get_Base_Angle	1.000000	0.992653	2	0.981982	1.000000	0	1.000000	98	98
seg008->seg008	10	Mark_Block	Mark_Block	1.000000	0.994012	2	0.920000	1.000000	0	1.000000	25	25
seg019->seg019	12	UU_VGA_WidestGlyph	UU_VGA_WidestGlyph	1.000000	0.994845	1	0.975000	1.000000	0	1.000000	37	37
_AIL_->_AIL_	79	_AIL_unhook	_AIL_unhook	1.000000	0.995334	1	0.952381	1.000000	0	1.000000	20	20
_AIL_->_AIL_	80	_AIL_hook	_AIL_hook	1.000000	0.995816	1	0.956522	1.000000	0	1.000000	22	22
_AIL_->_AIL_	95	_DP_describe_driver	_DP_describe_driver	1.000000	0.995951	2	0.955556	1.000000	0	1.000000	41	41
seg028->seg030	20	UU_VGA_WndDrawRotateImg	VGA_WndDrawRotateImg	1.000000	0.997047	2	0.972973	1.000000	0	1.000000	74	74
seg028->seg030	4	UU_LBX_IMG_VertWarp	LBX_IMG_VertWarp	1.000000	0.998019	1	0.994118	1.000000	0	1.000000	148	148
_AIL_->_AIL_	4	_init_DDA_arrays	_init_DDA_arrays	1.000000	1.000000	0	1.000000	1.000000	0	1.000000	27	27
_AIL_->_AIL_	5	_bios_caller	_bios_caller	1.000000	1.000000	0	1.000000	1.000000	0	1.000000	3	3
_AIL_->_AIL_	12	_AIL_startup	_AIL_startup	1.000000	1.000000	0	1.000000	1.000000	0	1.000000	30	30
_AIL_->_AIL_	13	_AIL_shutdown	_AIL_shutdown	1.000000	1.000000	0	1.000000	1.000000	0	1.000000	41	41
